ma_san_pham	ten_san_pham	gia_ban	gia_goc	phan_loai	mo_ta	diem_trung_binh	image
318900012	N??c Hoa H?ng Klairs Không Mùi Cho Da Nh?y C?m 180ml	209000	435000	"2x180ml
180ml
Không Mùi
Có Mùi H??ng"	"N??c Hoa H?ng Klairs Supple Preparation là dòng s?n ph?m toner ???c th??ng hi?u Dear, Klairs thi?t k? chuyên bi?t dành cho làn da nh?y c?m. V?i b?ng thành ph?n chi?t xu?t t? th?c v?t và k?t c?u l?ng nh?, th?m nhanh trên da, n??c hoa h?ng Klairs s? giúp cân b?ng ?? pH và c?p ?m cho làn da hi?u qu?, h? tr? cho các b??c skincare ti?p theo ??t hi?u qu? t?i ?u.
Hi?n s?n ph?m N??c Hoa H?ng Klairs Cho Da Nh?y C?m 180ml ?ã có m?t t?i Hasaki v?i 2 lo?i:
N??c Hoa H?ng Klairs Supple Preparation Facial Toner: dành cho da nh?y c?m (h??ng th?o m?c).
N??c Hoa H?ng Klairs Supple Preparation Unscented Toner: dành cho da siêu nh?y c?m (không mùi).
1. N??c hoa h?ng Dear, Klairs Supple Preparation Facial Toner 180ml
N??c hoa h?ng Dear, Klairs Supple Preparation Facial Toner s?n ph?m t?i ?u trong vi?c làm s?ch, cân b?ng ?? PH và d??ng ?m, có k?t c?u d?ng l?ng nh?, trong su?t và không màu, th?m th?u nhanh chóng vào da. K?t h?p cùng mùi h??ng th?o m?c vô cùng d? ch?u, hoàn toàn không gây kích ?ng hay c?m giác nh?n dính. 
 
*L?u ý: Tác d?ng có th? khác nhau tu? c? ??a c?a ng??i dùng
Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.8	https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-318900012-1730367448_img_380x380_64adc6_fit_center.jpg
205100137	"N??c T?y Trang L'Oreal T??i Mát Cho Da D?u, H?n H?p 400ml"	147000	229000	"2x400ml
95ml
400ml
Làm S?ch Sâu
T??i Mát Da
Ki?m D?u
C?ng M?n Da
D??ng ?m
T??i Mát Da và Làm S?ch Sâu
T??i Mát Da và D??ng ?m"	"N??c T?y Trang L'Oréal là dòng s?n ph?m t?y trang d?ng n??c ??n t? th??ng hi?u L'Oreal Paris, ???c ?ng d?ng công ngh? Micellar d?u nh? giúp làm s?ch da, l?y ?i b?i b?n, d?u th?a và c?n trang ?i?m ch? trong m?t b??c, mang l?i làn da thông thoáng, m?m m??t mà không h? khô c?ng.
 

Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.7	https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-205100137-1695896128_img_380x380_64adc6_fit_center.png
422208973	S?a R?a M?t CeraVe S?ch Sâu Cho Da Th??ng ??n Da D?u 473ml	343000	455000	"88ml
236ml
473ml
Da khô/H?n h?p khô
Da d?u/H?n h?p d?u"	"S?a R?a M?t Cerave S?ch Sâu là s?n ph?m s?a r?a m?t ??n t? th??ng hi?u m? ph?m Cerave c?a M?, v?i s? k?t h?p c?a ba Ceramides thi?t y?u, Hyaluronic Acid s?n ph?m giúp làm s?ch và gi? ?m cho làn da mà không ?nh h??ng ??n hàng rào b?o v? da m?t và c? th?.
Hi?n s?n ph?m S?a R?a M?t Cerave S?ch Sâu ?ã có m?t t?i Hasaki v?i 2 lo?i và 3 dung tích (88ml; 236ml; 473ml):
S?a R?a M?t Cerave S?ch Sâu Cho Da Th??ng ??n Da D?u 
S?a R?a M?t Cerave S?ch Sâu Cho Da Th??ng ??n Da Khô
1. S?a R?a M?t Cerave S?ch Sâu Cho Da Th??ng ??n Da D?u 
S?a R?a M?t Cerave Foaming Cleanser k?t c?u d?ng gel t?o b?t r?t lý t??ng ?? lo?i b? d?u th?a, b?i b?n và l?p trang ?i?m v?i công th?c nh? nhàng, không phá v? hàng rào b?o v? t? nhiên c?a da và ch?a các thành ph?n giúp duy trì ?? ?m cân b?ng da. Cerave Foaming Cleanser ch?a Ceramides, Axit Hyaluronic và Niacinamide giúp duy trì hàng rào b?o v? da, khóa ?m và làm d?u làn da c?a b?n.
   
Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.9	https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-422208973-1696326099_img_380x380_64adc6_fit_center.png
204900013	Kem Ch?ng N?ng La Roche-Posay Ki?m Soát D?u SPF50+ 50ml	377000	560000	"2x50ml
50ml"	"Kem ch?ng n?ng giúp b?o v? da kh?i tia UVB & UVA dài và gi?m bóng nh?n La Roche-Posay Anthelios UV Mune 400 Oil Control Gel-Cream 50ml là kem ch?ng n?ng dành cho da d?u phiên b?n công th?c c?i ti?n m?i ??n t? th??ng hi?u d??c m? ph?m La Roche-Posay, giúp ki?m soát bóng nh?n và b?o v? da tr??c tác h?i t? ánh n?ng & ô nhi?m, ng?n ch?n các tác nhân gây lão hóa s?m. S?n ph?m có công th?c ch?ng th?m n??c thích h?p dùng h?ng ngày và c? nh?ng ho?t ??ng ngoài tr?i.
 

*L?u ý: Tác d?ng có th? khác nhau tu? c? ??a c?a ng??i dùng
Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.6	https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-la-roche-posay-kiem-soat-dau-spf50-50ml-1716437865_img_380x380_64adc6_fit_center.jpg
253900006	Kem Ch?ng N?ng Skin1004 Cho Da Nh?y C?m SPF 50+ 50ml	210000	445000	"20ml
50ml"	"Kem Ch?ng N?ng Skin1004 Cho Da Nh?y C?m là s?n ph?m kem ch?ng n?ng ??n t? th??ng hi?u m? ph?m Skin1004 c?a Hàn Qu?c, là kem ch?ng n?ng v?t lý v?i chi?t xu?t rau má và ch?t kem m?ng nh? có màu giúp che ph? nh? khuy?t ?i?m cho da. Công th?c ?a n?ng v?a ch?ng n?ng v?a ??u màu da l?i d??ng ?m chính là s?n ph?m mà nh?ng cô nàng da m?n hay da d?u nh?y c?m c?n vì không c?n s? d?ng quá nhi?u b??c l?nh k?nh.





Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.6	https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-253900006-1695973833_img_380x380_64adc6_fit_center.jpg
200400003	N??c T?y Trang Bioderma Dành Cho Da Nh?y C?m 500ml	312000	525000	"Combo 1000ml
100ml
250ml
500ml
Da D?u, Da H?n H?p
Da nh?y c?m"	"N??c T?y Trang Bioderma bao g?m 2 phân lo?i: 
N??c T?y Trang Bioderma Dành Cho Da Nh?y C?m: 100ml; 250ml; 500ml; Combo 1000ml (2x500ml)
N??c T?y Trang Bioderma Dành Cho Da D?u & H?n H?p: 100ml; 250ml; 500ml; Combo 1000ml (2x500ml)
THÔNG TIN S?N PH?M
1. N??c T?y Trang Bioderma Dành Cho Da Nh?y C?m
Dành Cho Da Nh?y C?m Bioderma Sensibio H2O là s?n ph?m n??c t?y trang công ngh? Micellar ??u tiên trên th? gi?i, do th??ng hi?u d??c m? ph?m Bioderma n?i ti?ng c?a Pháp phát minh. Dung d?ch giúp làm s?ch sâu da và lo?i b? l?p trang ?i?m nhanh chóng mà không c?n r?a l?i b?ng n??c. Công th?c d?u nh?, không kích ?ng, không gây khô c?ng da, ??c bi?t phù h?p v?i làn da nh?y c?m.
 
Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.9	https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-bioderma-danh-cho-da-nhay-cam-500ml-1716538823_img_380x380_64adc6_fit_center.jpg
422218358	S?a Ch?ng N?ng Anessa D??ng Da Ki?m D?u 60ml (B?n M?i 2024)	533000	715000	"2x20ml
20ml
60ml
60ml+20ml
60ml+2x20ml"	"S?a Ch?ng N?ng Anessa Perfect UV Sunscreen Skincare Milk N SPF50+ PA++++ D??ng Da Ki?m D?u (M?i) là dòng s?n ph?m ch?ng n?ng da m?t ??n t? th??ng hi?u Anessa - Nh?t B?n. S?n ph?m v?i công ngh? Auto Veil m?i giúp cho l?p màng ch?ng UV tr? nên b?n v?ng h?n khi g?p nhi?t ?? cao, n??c và ma sát.
    Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.9	https://media.hcdn.vn/catalog/product/p/r/promotions-auto-sua-chong-nang-anessa-duong-da-kiem-dau-60ml-moi_qeMfg3JwwsLG3qSq_img_380x380_64adc6_fit_center.png
200400004	N??c T?y Trang Bioderma Dành Cho Da D?u & H?n H?p 500ml	334000	525000	"Combo 1000ml
100ml
250ml
500ml
Da D?u, Da H?n H?p
Da nh?y c?m"	"N??c T?y Trang Bioderma bao g?m 2 phân lo?i: 
N??c T?y Trang Bioderma Dành Cho Da Nh?y C?m: 100ml; 250ml; 500ml; Combo 1000ml (2x500ml)
N??c T?y Trang Bioderma Dành Cho Da D?u & H?n H?p: 100ml; 250ml; 500ml; Combo 1000ml (2x500ml)
THÔNG TIN S?N PH?M
1. N??c T?y Trang Bioderma Dành Cho Da Nh?y C?m
Dành Cho Da Nh?y C?m Bioderma Sensibio H2O là s?n ph?m n??c t?y trang công ngh? Micellar ??u tiên trên th? gi?i, do th??ng hi?u d??c m? ph?m Bioderma n?i ti?ng c?a Pháp phát minh. Dung d?ch giúp làm s?ch sâu da và lo?i b? l?p trang ?i?m nhanh chóng mà không c?n r?a l?i b?ng n??c. Công th?c d?u nh?, không kích ?ng, không gây khô c?ng da, ??c bi?t phù h?p v?i làn da nh?y c?m.
 
Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.9	https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-nuoc-tay-trang-bioderma-danh-cho-da-dau-hon-hop-500ml-1690274181_img_380x380_64adc6_fit_center.jpg
422210400	Kem Ch?ng N?ng L'Oreal Paris X20 Thoáng Da M?ng Nh? 50ml	246000	379000	"2x50ml
30ml
50ml
x20 M?ng Nh?
D??ng ?m
Nâng Tông Gi?m Thâm
Ki?m D?u Thoáng M?n"	"UV Defender SPF 50+ PA++++ là dòng s?n ph?m ch?ng n?ng da m?t ??n t? th??ng hi?u L’Oreal Paris, v?i s? k?t h?p hoàn h?o c?a công ngh? ch?ng n?ng b?n b? t?i ?a và thành ph?n vàng b?o v? da, d??ng sáng, h? tr? m? thâm nám. Ch?ng n?ng L'Oreal ???c trang b? 2 l?p màng b?o v?: Màng l?c Mexoryl SX và Mexoryl XL giúp c?n tia UVA và UVB t?i ?u su?t c? ngày dài, h? tr? ng?n ng?a da lão hoá lên ??n 5 n?m.
Kem Ch?ng N?ng L’Oreal Paris UV Defender SPF 50+ PA++++ 50ml hi?n ?ã có m?t t?i Hasaki v?i 4 phân lo?i cho b?n l?a ch?n tùy thu?c vào nhu c?u s? d?ng:
Kem Ch?ng N?ng X20 Thoáng Da M?ng Nh? L'Oreal Paris UV Defender Invisible Resist SPF50+ PA++++ 50ml
Kem Ch?ng N?ng M?n Nh? Nâng Tông Gi?m Thâm L'Oreal Paris UV Defender Bright & Clear SPF 50+ PA++++ 50ml (Vi?n h?ng) v?i Niacinamide
Kem Ch?ng N?ng M?n Nh? Ki?m D?u Thoáng M?n Da L'Oreal Paris UV Defender Matte & Fresh SPF 50+ PA++++ 50ml (Vi?n xanh lá) v?i ho?t ch?t Airlicium
Serum Ch?ng N?ng Ph? R?ng M?ng Nh?, B?o V? & C?i Thi?n Làn Da L'Oreal Paris UV Defender Sun-Repair Invisible Serum SPF 50+ PA++++ 30ml (M?I)
  Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.1	https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-kem-chong-nang-l-oreal-paris-x20-thoang-da-mong-nhe-50ml-1726649762_img_380x380_64adc6_fit_center.jpg
205100146	N??c T?y Trang L'Oreal Làm S?ch Sâu Trang ?i?m 400ml	174000	269000	"2x400ml
95ml
400ml
Làm S?ch Sâu
T??i Mát Da
Ki?m D?u
C?ng M?n Da
D??ng ?m
T??i Mát Da và Làm S?ch Sâu
T??i Mát Da và D??ng ?m"	"N??c T?y Trang L'Oréal là dòng s?n ph?m t?y trang d?ng n??c ??n t? th??ng hi?u L'Oreal Paris, ???c ?ng d?ng công ngh? Micellar d?u nh? giúp làm s?ch da, l?y ?i b?i b?n, d?u th?a và c?n trang ?i?m ch? trong m?t b??c, mang l?i làn da thông thoáng, m?m m??t mà không h? khô c?ng.
 

Làm sao ?? phân bi?t hàng có tr?n hay không ?
Hàng tr?n s? không th? xu?t hoá ??n ?? (VAT) 100% ???c do có hàng không ngu?n g?c trong ?ó.
T?i Hasaki, 100% hàng bán ra s? ???c xu?t hoá ??n ?? cho dù khách hàng có l?y hay không. N?u có nhu c?u l?y hoá ??n ??, quý khách vui lòng l?y tr??c 22h cùng ngày. Vì sau 22h, h? th?ng Hasaki s? t? ??ng xu?t h?t hoá ??n cho nh?ng hàng hoá mà khách hàng không ??ng kí l?y hoá ??n.
Do xu?t ???c hoá ??n ?? 100% nên ??m b?o 100% hàng t?i Hasaki là hàng chính hãng có ngu?n g?c rõ ràng."	4.7	https://media.hcdn.vn/catalog/product/f/a/facebook-dynamic-205100146-1695896051_img_380x380_64adc6_fit_center.png
